epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.023,1.17003,2.58755,1.39819,0.51892,0.65887,0.61371,0.40934,0.96958,1.85358,1.30424,0.000144743,0.000144743,0.000144743
2,413.927,0.90246,1.41348,1.19659,0.61521,0.72549,0.67684,0.47251,0.88985,1.35246,1.23147,0.000285261,0.000285261,0.000285261
3,778.323,0.86949,1.15516,1.16163,0.60347,0.74709,0.6773,0.47874,0.88319,1.1721,1.18343,0.000421293,0.000421293,0.000421293
4,1141.95,0.82847,0.98955,1.13608,0.62648,0.76065,0.70833,0.49914,0.82614,0.9792,1.15021,0.000414813,0.000414813,0.000414813
5,1546.27,0.80121,0.90449,1.11536,0.64554,0.7721,0.71936,0.51974,0.80193,0.88237,1.1454,0.000408084,0.000408084,0.000408084
6,1962.6,0.77765,0.83351,1.103,0.65497,0.7636,0.72182,0.52788,0.77296,0.79992,1.11174,0.000401355,0.000401355,0.000401355
7,2373.51,0.76565,0.80218,1.0937,0.70914,0.79448,0.7627,0.55475,0.78101,0.75,1.10854,0.000394627,0.000394627,0.000394627
8,2786.65,0.75892,0.76345,1.08265,0.67267,0.794,0.75172,0.55157,0.75723,0.72001,1.0928,0.000387898,0.000387898,0.000387898
9,3198.81,0.74083,0.73031,1.07811,0.71672,0.79882,0.77745,0.56907,0.72996,0.68581,1.06885,0.000381169,0.000381169,0.000381169
10,3612.26,0.73671,0.70592,1.07413,0.72659,0.80462,0.78733,0.58764,0.7236,0.64857,1.06743,0.00037444,0.00037444,0.00037444
11,4033.73,0.72438,0.68182,1.06538,0.74918,0.81427,0.80079,0.60238,0.71533,0.61083,1.06396,0.000367711,0.000367711,0.000367711
12,4449.92,0.72091,0.67416,1.05924,0.74754,0.83178,0.8111,0.60824,0.71496,0.61381,1.05041,0.000360982,0.000360982,0.000360982
13,4862.1,0.7079,0.6488,1.05132,0.7625,0.81715,0.81546,0.61657,0.70076,0.60022,1.0507,0.000354253,0.000354253,0.000354253
14,5274.05,0.7028,0.63663,1.04903,0.75356,0.82555,0.81009,0.61206,0.69378,0.57725,1.04633,0.000347524,0.000347524,0.000347524
15,5688.09,0.6985,0.63062,1.04398,0.78611,0.82979,0.82137,0.62156,0.68917,0.57023,1.04262,0.000340795,0.000340795,0.000340795
16,6107.87,0.69395,0.61611,1.04087,0.76747,0.8152,0.81889,0.62027,0.69522,0.58658,1.05251,0.000334066,0.000334066,0.000334066
17,6522.33,0.68812,0.61339,1.03724,0.80038,0.83212,0.84613,0.63872,0.68459,0.53717,1.03529,0.000327337,0.000327337,0.000327337
18,6944.77,0.68764,0.59748,1.03939,0.79321,0.81837,0.83964,0.63823,0.6811,0.54563,1.03527,0.000320609,0.000320609,0.000320609
19,7365.29,0.68022,0.59424,1.033,0.81036,0.81821,0.84057,0.63974,0.68616,0.53881,1.03849,0.00031388,0.00031388,0.00031388
20,7786.13,0.68064,0.57964,1.0323,0.77077,0.85075,0.84587,0.63853,0.68552,0.53966,1.0343,0.000307151,0.000307151,0.000307151
21,8220.06,0.66959,0.57609,1.02705,0.79511,0.83817,0.85217,0.65275,0.67888,0.51524,1.03262,0.000300422,0.000300422,0.000300422
22,8643.01,0.66596,0.5663,1.02541,0.81567,0.84787,0.85943,0.65873,0.66555,0.50776,1.01542,0.000293693,0.000293693,0.000293693
23,9069.23,0.67078,0.55611,1.02326,0.83911,0.84324,0.87267,0.66998,0.66048,0.48631,1.01105,0.000286964,0.000286964,0.000286964
24,9494.58,0.66229,0.54684,1.02196,0.83348,0.84523,0.87467,0.66401,0.6711,0.49707,1.02426,0.000280235,0.000280235,0.000280235
25,9912.06,0.66258,0.54458,1.01887,0.81878,0.85651,0.86891,0.67039,0.65988,0.47468,1.01486,0.000273506,0.000273506,0.000273506
26,10341.8,0.65657,0.53667,1.01651,0.81924,0.83688,0.86835,0.66803,0.66361,0.48481,1.01295,0.000266777,0.000266777,0.000266777
27,10755.7,0.65535,0.53166,1.01314,0.81537,0.85206,0.87397,0.67291,0.6631,0.49332,1.01167,0.000260048,0.000260048,0.000260048
28,11177.5,0.65043,0.53169,1.0102,0.80342,0.87839,0.87501,0.67801,0.65351,0.46683,1.00569,0.00025332,0.00025332,0.00025332
29,11596.6,0.64397,0.51865,1.0078,0.84681,0.86415,0.89034,0.68689,0.65349,0.46322,1.00269,0.000246591,0.000246591,0.000246591
30,12021.8,0.64089,0.51624,1.00742,0.81923,0.86122,0.87171,0.67147,0.65587,0.46747,1.00614,0.000239862,0.000239862,0.000239862
31,12438.2,0.64421,0.51091,1.00383,0.8321,0.87356,0.88776,0.68788,0.65224,0.45979,1.00794,0.000233133,0.000233133,0.000233133
32,12863,0.63392,0.49859,1.00087,0.83697,0.85092,0.88298,0.68575,0.64527,0.45104,0.9957,0.000226404,0.000226404,0.000226404
33,13290.7,0.63752,0.49787,1.00081,0.83632,0.86917,0.89046,0.68468,0.65101,0.45304,0.99706,0.000219675,0.000219675,0.000219675
34,13712.3,0.63815,0.49295,1.00415,0.81956,0.87386,0.88148,0.68172,0.65327,0.45382,1.00763,0.000212946,0.000212946,0.000212946
35,14141.6,0.62623,0.48291,0.99282,0.84489,0.88236,0.89666,0.69876,0.64204,0.44673,0.99545,0.000206217,0.000206217,0.000206217
36,14561.2,0.62756,0.47597,0.99428,0.84466,0.86949,0.89875,0.70005,0.63945,0.4345,0.99126,0.000199488,0.000199488,0.000199488
37,14984.3,0.62324,0.47601,0.99242,0.8516,0.87408,0.89965,0.70084,0.63918,0.43349,0.9909,0.000192759,0.000192759,0.000192759
38,15397.8,0.62336,0.46949,0.98889,0.85072,0.87944,0.90121,0.70023,0.6472,0.43831,0.99288,0.00018603,0.00018603,0.00018603
39,15819.6,0.62017,0.46386,0.99018,0.86254,0.86849,0.90051,0.70133,0.6407,0.43436,0.98769,0.000179302,0.000179302,0.000179302
40,16236.7,0.61862,0.46067,0.98949,0.86155,0.87384,0.90282,0.70369,0.6399,0.43013,0.98942,0.000172573,0.000172573,0.000172573
41,16663.5,0.6174,0.45489,0.99087,0.86478,0.88276,0.90154,0.70345,0.63784,0.41863,0.98546,0.000165844,0.000165844,0.000165844
42,17084.8,0.61694,0.45324,0.98741,0.85411,0.88117,0.90083,0.69918,0.6408,0.4251,0.98473,0.000159115,0.000159115,0.000159115
43,17505.3,0.607,0.44973,0.981,0.85578,0.87516,0.90252,0.7037,0.64117,0.42152,0.99103,0.000152386,0.000152386,0.000152386
44,17933.7,0.60735,0.44323,0.98374,0.87337,0.87852,0.90608,0.70644,0.63642,0.41379,0.98663,0.000145657,0.000145657,0.000145657
45,18343.7,0.60949,0.44275,0.98567,0.85951,0.88612,0.90791,0.70928,0.63104,0.41318,0.98181,0.000138928,0.000138928,0.000138928
46,18757.9,0.60278,0.43821,0.97901,0.85709,0.88858,0.9098,0.71042,0.63193,0.41482,0.98318,0.000132199,0.000132199,0.000132199
47,19170.9,0.60004,0.43535,0.98029,0.86412,0.8937,0.90718,0.70793,0.63402,0.41026,0.9826,0.00012547,0.00012547,0.00012547
48,19591,0.60069,0.42726,0.97859,0.86912,0.88683,0.90771,0.70928,0.62916,0.40703,0.97564,0.000118741,0.000118741,0.000118741
49,20006.7,0.59898,0.42602,0.9808,0.87096,0.88865,0.91513,0.71558,0.63135,0.40478,0.97711,0.000112013,0.000112013,0.000112013
50,20423.8,0.59915,0.42653,0.97779,0.87297,0.89199,0.9161,0.71542,0.62907,0.40131,0.97587,0.000105284,0.000105284,0.000105284
51,20850.4,0.59151,0.41736,0.97405,0.85773,0.89637,0.91275,0.71429,0.62451,0.40203,0.97486,9.85547e-05,9.85547e-05,9.85547e-05
52,21270.7,0.58752,0.41527,0.97364,0.86261,0.89731,0.91398,0.71311,0.62614,0.39894,0.97456,9.18258e-05,9.18258e-05,9.18258e-05
53,21688,0.58486,0.4097,0.97007,0.86457,0.89741,0.91254,0.7122,0.62782,0.39858,0.98028,8.50969e-05,8.50969e-05,8.50969e-05
54,22113.3,0.58979,0.40965,0.97311,0.88315,0.88422,0.91793,0.71727,0.62676,0.3976,0.97391,7.8368e-05,7.8368e-05,7.8368e-05
55,22534.7,0.59695,0.37344,0.93846,0.87297,0.88766,0.90979,0.71044,0.62652,0.40222,0.97452,7.16391e-05,7.16391e-05,7.16391e-05
56,22956.2,0.58612,0.36408,0.92878,0.85562,0.90437,0.91581,0.71547,0.62839,0.39852,0.97437,6.49102e-05,6.49102e-05,6.49102e-05
57,23383.6,0.58545,0.3607,0.9291,0.87193,0.89515,0.91617,0.71697,0.62502,0.39407,0.97345,5.81813e-05,5.81813e-05,5.81813e-05
58,23807.9,0.57761,0.34752,0.9227,0.88651,0.88882,0.92094,0.72132,0.62483,0.39218,0.97327,5.14523e-05,5.14523e-05,5.14523e-05
59,24229.9,0.57686,0.34728,0.92495,0.89005,0.88693,0.92209,0.7209,0.62257,0.38574,0.97119,4.47234e-05,4.47234e-05,4.47234e-05
60,24662.3,0.57459,0.34563,0.9185,0.88075,0.89452,0.92088,0.72051,0.62266,0.39012,0.97098,3.79945e-05,3.79945e-05,3.79945e-05
61,25090.9,0.56761,0.33791,0.91791,0.8865,0.89309,0.91949,0.72158,0.62067,0.38593,0.96956,3.12656e-05,3.12656e-05,3.12656e-05
62,25510.7,0.56889,0.33807,0.91803,0.88616,0.89403,0.9223,0.72185,0.62209,0.38702,0.96958,2.45367e-05,2.45367e-05,2.45367e-05
63,25931.2,0.56177,0.32975,0.9131,0.89915,0.88144,0.92187,0.72082,0.62229,0.38278,0.96951,1.78078e-05,1.78078e-05,1.78078e-05
64,26360,0.5628,0.33023,0.91239,0.88442,0.89881,0.92166,0.72215,0.622,0.38313,0.96803,1.10789e-05,1.10789e-05,1.10789e-05
