epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.06026,0.89707,1.32635,1.23193,0.7233,0.54761,0.58065,0.44248,0.9135,1.15604,1.18433,0.0001218,0.0001218,0.0001218
2,12.4448,0.73964,0.8349,1.11176,0.63042,0.66748,0.68783,0.54469,0.74406,0.84597,1.07455,0.000246991,0.000246991,0.000246991
3,16.7621,0.67777,0.70845,1.05826,0.7062,0.76167,0.7636,0.61075,0.67627,0.70334,1.02193,0.000371207,0.000371207,0.000371207
4,21.0644,0.59948,0.64088,1.00326,0.7885,0.76649,0.83553,0.66602,0.64822,0.63884,1.00481,0.000429953,0.000429953,0.000429953
5,25.363,0.56764,0.54662,0.96965,0.80589,0.8103,0.85958,0.68899,0.64133,0.62627,0.98762,0.000428271,0.000428271,0.000428271
6,29.6558,0.56789,0.56433,0.96834,0.86884,0.83273,0.89159,0.71377,0.62128,0.57578,0.97614,0.000426589,0.000426589,0.000426589
7,33.9624,0.54745,0.4933,0.96209,0.92348,0.86846,0.90997,0.72331,0.61529,0.50281,0.95727,0.000424907,0.000424907,0.000424907
8,38.2623,0.55705,0.49248,0.96649,0.95707,0.87739,0.91855,0.72848,0.6115,0.47289,0.95265,0.000423224,0.000423224,0.000423224
9,42.5901,0.54611,0.4635,0.94623,0.95712,0.88779,0.92747,0.7319,0.60343,0.44796,0.95137,0.000421542,0.000421542,0.000421542
10,46.8843,0.52154,0.43976,0.93829,0.95663,0.90279,0.93103,0.74541,0.60578,0.4401,0.94475,0.00041986,0.00041986,0.00041986
11,51.1959,0.53895,0.4339,0.94275,0.939,0.90145,0.93195,0.73609,0.61404,0.43721,0.9417,0.000418178,0.000418178,0.000418178
12,55.5074,0.47978,0.42403,0.93626,0.93033,0.90474,0.93234,0.74254,0.59293,0.43867,0.93089,0.000416496,0.000416496,0.000416496
13,59.8029,0.51287,0.42505,0.93814,0.9303,0.90665,0.93708,0.74497,0.58752,0.42118,0.92451,0.000414813,0.000414813,0.000414813
14,64.1309,0.49602,0.39913,0.9243,0.93943,0.92453,0.94142,0.75583,0.59306,0.40484,0.91324,0.000413131,0.000413131,0.000413131
15,68.4574,0.50445,0.42139,0.9369,0.94087,0.91019,0.93391,0.76095,0.57789,0.39946,0.89974,0.000411449,0.000411449,0.000411449
16,72.7828,0.52378,0.41371,0.9236,0.9433,0.91111,0.93569,0.75108,0.57963,0.39707,0.90073,0.000409767,0.000409767,0.000409767
17,77.1089,0.49205,0.38226,0.92194,0.94247,0.92633,0.94557,0.74691,0.57994,0.39481,0.90067,0.000408084,0.000408084,0.000408084
18,81.4811,0.50067,0.37497,0.91913,0.94196,0.91336,0.95359,0.7677,0.57816,0.39058,0.89636,0.000406402,0.000406402,0.000406402
19,86.0959,0.45361,0.38593,0.93348,0.94184,0.91403,0.95468,0.77943,0.56677,0.38719,0.8903,0.00040472,0.00040472,0.00040472
20,90.799,0.48155,0.38072,0.9163,0.95598,0.90972,0.95874,0.79072,0.56457,0.38241,0.88995,0.000403038,0.000403038,0.000403038
21,95.7064,0.45374,0.36185,0.89681,0.93806,0.93573,0.96028,0.79296,0.55812,0.38341,0.88884,0.000401355,0.000401355,0.000401355
22,100.866,0.48237,0.35983,0.91279,0.92959,0.93482,0.96084,0.78477,0.55332,0.37659,0.88447,0.000399673,0.000399673,0.000399673
23,106.205,0.46266,0.33844,0.89952,0.94245,0.92503,0.95849,0.79045,0.54644,0.36186,0.88185,0.000397991,0.000397991,0.000397991
